<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,100129,163.230000000,50
SBER,0,20170721,100129,163.230000000,10
SBER,0,20170721,100129,163.220000000,40
SBER,0,20170721,100129,163.250000000,200
SBER,0,20170721,100129,163.250000000,800
SBER,0,20170721,100130,163.370000000,1470
SBER,0,20170721,100130,163.310000000,30
SBER,0,20170721,100130,163.310000000,30
SBER,0,20170721,100130,163.390000000,200
SBER,0,20170721,100130,163.390000000,800
SBER,0,20170721,100130,163.390000000,450
SBER,0,20170721,100130,163.390000000,280
SBER,0,20170721,100130,163.390000000,10
SBER,0,20170721,100130,163.320000000,280
SBER,0,20170721,100130,163.390000000,970
SBER,0,20170721,100130,163.400000000,20
SBER,0,20170721,100131,163.430000000,160
SBER,0,20170721,100131,163.390000000,1000
SBER,0,20170721,100131,163.390000000,280
SBER,0,20170721,100131,163.380000000,720
SBER,0,20170721,100131,163.380000000,10
SBER,0,20170721,100131,163.380000000,960
SBER,0,20170721,100132,163.320000000,3000
SBER,0,20170721,100132,163.320000000,1000
SBER,0,20170721,100133,163.300000000,3000
SBER,0,20170721,100133,163.300000000,10
SBER,0,20170721,100134,163.300000000,10
SBER,0,20170721,100134,163.280000000,50
SBER,0,20170721,100134,163.300000000,980
SBER,0,20170721,100134,163.360000000,720
SBER,0,20170721,100134,163.340000000,810
SBER,0,20170721,100134,163.340000000,2190
SBER,0,20170721,100134,163.310000000,1810
SBER,0,20170721,100137,163.400000000,130
SBER,0,20170721,100137,163.400000000,30
SBER,0,20170721,100137,163.400000000,60
SBER,0,20170721,100137,163.400000000,20
SBER,0,20170721,100137,163.400000000,40
SBER,0,20170721,100137,163.400000000,20
SBER,0,20170721,100137,163.400000000,30
SBER,0,20170721,100137,163.400000000,40
SBER,0,20170721,100137,163.400000000,20
SBER,0,20170721,100137,163.400000000,10
SBER,0,20170721,100137,163.400000000,20
SBER,0,20170721,100137,163.400000000,100
SBER,0,20170721,100137,163.410000000,380
SBER,0,20170721,100137,163.400000000,370
SBER,0,20170721,100137,163.360000000,50
SBER,0,20170721,100138,163.430000000,280
SBER,0,20170721,100138,163.440000000,1720
SBER,0,20170721,100138,163.370000000,1000
SBER,0,20170721,100138,163.360000000,280
SBER,0,20170721,100138,163.350000000,1000
SBER,0,20170721,100138,163.350000000,720
SBER,0,20170721,100140,163.440000000,320
SBER,0,20170721,100140,163.440000000,320
SBER,0,20170721,100140,163.450000000,740
SBER,0,20170721,100140,163.450000000,750
SBER,0,20170721,100141,163.450000000,240
SBER,0,20170721,100141,163.430000000,240
SBER,0,20170721,100141,163.420000000,10
SBER,0,20170721,100142,163.470000000,100
SBER,0,20170721,100142,163.480000000,320
SBER,0,20170721,100142,163.490000000,80
SBER,0,20170721,100142,163.420000000,1000
SBER,0,20170721,100142,163.410000000,1040
SBER,0,20170721,100144,163.480000000,2500
SBER,0,20170721,100145,163.450000000,60
SBER,0,20170721,100146,163.480000000,120
SBER,0,20170721,100146,163.490000000,230
SBER,0,20170721,100146,163.490000000,100
SBER,0,20170721,100146,163.490000000,300
SBER,0,20170721,100146,163.490000000,280
SBER,0,20170721,100146,163.490000000,970
SBER,0,20170721,100146,163.460000000,70
SBER,0,20170721,100147,163.450000000,10
SBER,0,20170721,100147,163.490000000,3000
SBER,0,20170721,100147,163.490000000,1000
SBER,0,20170721,100147,163.500000000,1000
SBER,0,20170721,100147,163.500000000,250
SBER,0,20170721,100147,163.500000000,1000
SBER,0,20170721,100147,163.500000000,930
SBER,0,20170721,100148,163.430000000,40
SBER,0,20170721,100148,163.430000000,580
SBER,0,20170721,100149,163.450000000,380
SBER,0,20170721,100149,163.450000000,20
SBER,0,20170721,100149,163.450000000,280
SBER,0,20170721,100150,163.410000000,10
SBER,0,20170721,100150,163.410000000,10
SBER,0,20170721,100150,163.420000000,20
