TRADEDATE,BOARDID,SECID,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
2012-08-30,RTSI,RTSI,Индекс РТС,Индекс РТС,1384.26,1410.16,1413.34,1383.79,782428075.4271,,,2,157689038249.507,USD,999999.999999
2012-08-31,RTSI,RTSI,Индекс РТС,Индекс РТС,1389.72,1384.32,1397.92,1381.01,979084545.616,,,2,158310263761.798,USD,999999.999999
2012-09-03,RTSI,RTSI,Индекс РТС,Индекс РТС,1406.04,1386.66,1407.91,1386.66,649143752.5763,,,2,160170027601.549,USD,999999.999999
2012-09-04,RTSI,RTSI,Индекс РТС,Индекс РТС,1405.71,1406.04,1419.2,1403.37,710620662.3392,,,2,160131810633.35,USD,999999.999999
2012-09-05,RTSI,RTSI,Индекс РТС,Индекс РТС,1391.02,1405.71,1407.02,1385.27,821038417.4725,,,2,158458989687.634,USD,999999.999999
2012-09-06,RTSI,RTSI,Индекс РТС,Индекс РТС,1437.37,1390.92,1438.68,1390.51,1164229048.1546,,,2,163739194451.268,USD,999999.999999
2012-09-07,RTSI,RTSI,Индекс РТС,Индекс РТС,1471.8,1437.37,1478.89,1434.96,1734185921.9799,,,2,167661369991.615,USD,999999.999999
2012-09-10,RTSI,RTSI,Индекс РТС,Индекс РТС,1476.44,1471.8,1477.58,1462.77,967215475.8882,,,2,168189561807.885,USD,999999.999999
2012-09-11,RTSI,RTSI,Индекс РТС,Индекс РТС,1480.05,1476.44,1480.27,1460.1,863698929.1766,,,2,168601008569.714,USD,999999.999999
2012-09-12,RTSI,RTSI,Индекс РТС,Индекс РТС,1482.51,1480.05,1497.04,1478.27,1084832066.7751,,,2,168880988874.947,USD,999999.999999
2012-09-13,RTSI,RTSI,Индекс РТС,Индекс РТС,1484.88,1482.67,1488.25,1477.81,781133519.5313,,,2,169150550570.656,USD,999999.999999
2012-09-14,RTSI,RTSI,Индекс РТС,Индекс РТС,1589.4,1484.98,1594.63,1484.98,2968534046.355,,,2,181056830048.566,USD,999999.999999
2012-09-17,RTSI,RTSI,Индекс РТС,Индекс РТС,1582.22,1589.4,1591.24,1573.3,2081393198.6015,,,2,180238967015.72897,USD,999999.999999
2012-09-18,RTSI,RTSI,Индекс РТС,Индекс РТС,1547.74,1582.22,1586.75,1546.74,1396735292.5379999,,,2,173186586082.039,USD,999999.999999
2012-09-19,RTSI,RTSI,Индекс РТС,Индекс РТС,1517.58,1547.79,1564.73,1508.6,2262717013.3965,,,2,169812623833.234,USD,999999.999999
